event_key,event_name,event_type,event_location,event_location_size,event_begin_date,event_end_date,city
186,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/28/2016,5/28/2016,Denver
187,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/29/2016,5/29/2016,Denver
188,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/30/2016,5/30/2016,Denver
189,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,5/31/2016,5/31/2016,Denver
190,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/1/2016,6/1/2016,Denver
191,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/2/2016,6/2/2016,Denver
192,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/3/2016,6/3/2016,Denver
193,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/4/2016,6/4/2016,Denver
194,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/5/2016,6/5/2016,Denver
195,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/6/2016,6/6/2016,Denver
196,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/7/2016,6/7/2016,Denver
197,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/8/2016,6/8/2016,Denver
198,Greeley Blues Jam,music,"503 N 14th Ave, Greeley, CO 80631",,6/9/2016,6/10/2016,Denver
199,Taste of Fort Collins,music,"Civic Center Park, Fort Collins, Colorado",,6/9/2016,6/9/2016,Denver
200,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/9/2016,6/9/2016,Denver
201,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/10/2016,6/10/2016,Denver
202,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/11/2016,6/11/2016,Denver
203,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/12/2016,6/12/2016,Denver
204,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/14/2016,6/14/2016,Denver
205,Sonic Bloom Festival,music,"Hummingbird Ranch, Colorado",,6/15/2016,6/18/2016,Denver
206,Telluride Bluegrass Festival,music,"Telluride Town Park 500 E Colorado Ave Telluride, CO",,6/15/2016,6/18/2016,Denver
207,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/15/2016,6/15/2016,Denver
208,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/17/2016,6/17/2016,Denver
209,baseball,sport,"2001 Blake St, Denver, CO 80205",50398,6/18/2016,6/18/2016,Denver
